개설강좌,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
    ,    ,    ,      ,  ,                                                                                                   ,                                                                           ,    ,          ,      ,        ,                           ,      ,   ,    ,    ,                                                                        ,
NO  ,개설전공,개설과정,과목번호  ,분반,교과목명                                                                                               ,담당교수                                                                       ,이수구분,과목세부구분    ,강의실습구분,교과분야    ,교과영역                       ,성적부여방법,학점 ,이론시수,실습시수,요일/교시/강의실                                                               ,비고
22  ,기초학부,학사  ,EM667 ,01,광화학 (이)                                                                                            ,박진희                                                                        ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,3.0,3.0 ,0.0 ,"화10:30-12:00(E2 - 525), 목10:30-12:00(E2 - 525)"                        ,
23  ,기초학부,학사  ,EM725 ,01,고급양자역학Ⅱ(이)                                                                                         ,이재동                                                                        ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,3.0,3.0 ,0.0 ,"화10:30-12:00(E2 - 424), 목10:30-12:00(E2 - 424)"                        ,
24  ,기초학부,학사  ,EM900 ,01,Thesis (이.공)                                                                                       ,강준구                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
25  ,기초학부,학사  ,EM900 ,02,Thesis (이.공)                                                                                       ,권용성                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
26  ,기초학부,학사  ,EM900 ,03,Thesis (이.공)                                                                                       ,김영욱                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
27  ,기초학부,학사  ,EM900 ,04,Thesis (이.공)                                                                                       ,김철기                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
28  ,기초학부,학사  ,EM900 ,05,Thesis (이.공)                                                                                       ,김칠민                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
29  ,기초학부,학사  ,EM900 ,06,Thesis (이.공)                                                                                       ,박진희                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
30  ,기초학부,학사  ,EM900 ,07,Thesis (이.공)                                                                                       ,서대하                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
31  ,기초학부,학사  ,EM900 ,08,Thesis (이.공)                                                                                       ,서정필                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
32  ,기초학부,학사  ,EM900 ,09,Thesis (이.공)                                                                                       ,유천열                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
33  ,기초학부,학사  ,EM900 ,10,Thesis (이.공)                                                                                       ,이성기                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
34  ,기초학부,학사  ,EM900 ,11,Thesis (이.공)                                                                                       ,이성원                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
35  ,기초학부,학사  ,EM900 ,12,Thesis (이.공)                                                                                       ,이신범                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
36  ,기초학부,학사  ,EM900 ,13,Thesis (이.공)                                                                                       ,이재동                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
37  ,기초학부,학사  ,EM900 ,14,Thesis (이.공)                                                                                       ,정낙천                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
38  ,기초학부,학사  ,EM900 ,15,Thesis (이.공)                                                                                       ,조재흥                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
39  ,기초학부,학사  ,EM900 ,16,Thesis (이.공)                                                                                       ,조창희                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
40  ,기초학부,학사  ,EM900 ,17,Thesis (이.공)                                                                                       ,홍선기                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
41  ,기초학부,학사  ,EM900 ,18,Thesis (이.공)                                                                                       ,홍정일                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
42  ,기초학부,학사  ,ES621 ,01,"분석개론 (이,공)"                                                                                       ,이종수                                                                        ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,3.0,3.0 ,0.0 ,"월10:30-12:00(E6 - 626), 수10:30-12:00(E6 - 626)"                        ,
43  ,기초학부,학사  ,ES748 ,01,고급 광전자공학 (이.공)                                                                                     ,이윤구                                                                        ,교선필수,교과        ,이론    ,기초공학    ,MIREBraiN                  ,등급    ,3.0,3.0 ,0.0 ,"월13:30-15:00(E6 - 626), 수16:30-18:00(E6 - 626)"                        ,
44  ,기초학부,학사  ,ES900 ,01,Thesis (이.공)                                                                                       ,유종성                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
45  ,기초학부,학사  ,ES900 ,02,Thesis (이.공)                                                                                       ,장윤희                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
46  ,기초학부,학사  ,ES900 ,03,Thesis (이.공)                                                                                       ,홍승태                                                                        ,교선필수,연구(Thesis),이론    ,기초공학    ,MIREBraiN                  ,S/U   ,1.0,5.0 ,0.0 ,토09:00-14:00(E7 - 233)                                                  ,
