개설강좌,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과분야,교과영역,성적부여방법,학점,이론시수,실습시수,요일/교시/강의실,비고
30,기초학부,학사,EM900,05,Thesis (이.공),서대하,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
31,기초학부,학사,EM900,06,Thesis (이.공),서정필,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
32,기초학부,학사,EM900,07,Thesis (이.공),유천열,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
33,기초학부,학사,EM900,08,Thesis (이.공),이성기,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
34,기초학부,학사,EM900,09,Thesis (이.공),이성원,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
35,기초학부,학사,EM900,10,Thesis (이.공),이신범,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
36,기초학부,학사,EM900,11,Thesis (이.공),이재동,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
37,기초학부,학사,EM900,12,Thesis (이.공),조재흥,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
38,기초학부,학사,EM900,13,Thesis (이.공),조창희,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
39,기초학부,학사,EM900,14,Thesis (이.공),홍선기,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
40,기초학부,학사,EM900,15,Thesis (이.공),홍정일,교선필수,연구(Thesis),이론,기초공학,MIREBraiN,S/U,1.0,5.0,0.0,금09:00-14:00(E7 - 233),
41,기초학부,학사,ES601,01,열역학 (이.공) ,정대성,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"월09:00-10:30(E6 - 626), 목09:00-10:30(E6 - 626)",영어강의(Delivered in English)
42,기초학부,학사,ES725,01,에너지 재료 전산모사(이.공),장윤희,교선필수,교과,이론,기초공학,MIREBraiN,등급,3.0,3.0,0.0,"목15:00-16:30(E6 - 111), 금09:00-10:30(E6 - 111)",영어강의(Delivered in English)
